congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
114,Senate,1,2015-01-08,1,1,31,66,-0.236,-0.142,0.392,0.266,-13.518,HR26,Amendment Rejected,,,
114,Senate,2,2015-01-08,1,2,93,4,-0.334,-0.915,-0.117,-0.604,-12.737,HR26,Bill Passed,,,
114,Senate,3,2015-01-12,1,3,63,32,-0.194,-0.171,-0.336,-0.459,-12.206,S1,Cloture on the Motion to Proceed Agreed to,,,
114,Senate,4,2015-01-20,1,4,57,42,-0.077,-0.122,-0.401,-0.198,-5.333,S1,Motion to Table Agreed to,,,
114,Senate,5,2015-01-20,1,5,53,46,0.123,-0.088,-0.263,0.195,-6.864,S1,Motion to Table Agreed to,,,
114,Senate,6,2015-01-20,1,6,94,5,0.766,-0.138,0.398,0.155,-6.501,S1,Amendment Agreed to,,,
114,Senate,7,2015-01-21,1,7,54,45,0.036,-0.092,-0.459,0.166,-0.388,S1,Amendment Rejected,,,
114,Senate,8,2015-01-21,1,8,41,58,-0.047,-0.116,0.31,0.715,-7.374,S1,Amendment Rejected,,,
114,Senate,9,2015-01-21,1,9,54,45,0.071,-0.116,-0.248,-0.616,-11.492,S1,Amendment Rejected,,,
114,Senate,10,2015-01-21,1,10,98,1,0.0,0.0,0.0,0.0,0.0,S1,Amendment Agreed to,,,
114,Senate,11,2015-01-21,1,11,59,40,0.291,-0.028,0.171,0.806,-25.075,S1,Amendment Rejected,,,
114,Senate,12,2015-01-21,1,12,50,49,0.218,-0.074,0.338,0.416,-8.846,S1,Amendment Rejected,,,
114,Senate,13,2015-01-22,1,13,55,44,0.199,0.052,0.174,0.47,-23.639,S1,Amendment Rejected,,,
114,Senate,14,2015-01-22,1,14,54,45,0.055,-0.101,-0.178,-0.335,-19.577,S1,Amendment Rejected,,,
114,Senate,15,2015-01-22,1,15,53,46,0.119,-0.089,-0.385,-0.163,-3.807,S1,Motion to Table Agreed to,,,
114,Senate,16,2015-01-22,1,16,56,42,-0.082,-0.112,-0.365,-0.028,-7.127,S1,Motion to Table Agreed to,,,
114,Senate,17,2015-01-22,1,17,51,47,0.101,-0.065,-0.21,-0.422,-13.024,S1,Amendment Rejected,,,
114,Senate,18,2015-01-22,1,18,75,23,0.513,-0.01,0.242,0.24,-31.437,S1,Amendment Agreed to,,,
114,Senate,19,2015-01-22,1,19,50,47,0.209,-0.064,0.294,0.386,-10.225,S1,Amendment Rejected,,,
114,Senate,20,2015-01-22,1,20,51,46,0.097,-0.097,-0.328,-0.531,-4.763,S1,Amendment Rejected,,,
114,Senate,21,2015-01-22,1,21,64,33,-0.21,-0.177,-0.345,-0.49,-14.204,S1,Amendment Agreed to,,,
114,Senate,22,2015-01-22,1,22,43,54,-0.045,0.013,0.219,0.502,-13.446,S1,Amendment Rejected,,,
114,Senate,23,2015-01-22,1,23,89,5,0.457,-0.89,0.103,-0.384,-22.854,S1,Motion for Attendance Agreed to,,,
114,Senate,24,2015-01-22,1,24,53,42,-0.066,-0.113,-0.356,0.047,-6.615,S1,Motion to Table Agreed to,,,
114,Senate,25,2015-01-22,1,25,57,38,-0.116,-0.081,-0.303,0.248,-11.979,S1,Motion to Table Agreed to,,,
114,Senate,26,2015-01-22,1,26,52,43,0.037,-0.091,-0.456,0.166,-0.39,S1,Motion to Table Agreed to,,,
114,Senate,27,2015-01-22,1,27,53,41,-0.046,-0.113,-0.433,-0.267,-2.817,S1,Motion to Table Agreed to,,,
114,Senate,28,2015-01-22,1,28,49,45,0.173,-0.076,-0.391,-0.345,-3.39,S1,Motion to Table Agreed to,,,
114,Senate,29,2015-01-26,1,29,53,39,-0.024,-0.066,-0.206,-0.276,-11.689,S1,Cloture Motion Rejected,,,
114,Senate,30,2015-01-26,1,30,53,39,-0.024,-0.066,-0.206,-0.276,-11.689,S1,Cloture Motion Rejected,,,
114,Senate,31,2015-01-28,1,31,36,62,-0.187,-0.136,0.43,0.282,-9.185,S1,Amendment Rejected,,,
114,Senate,32,2015-01-28,1,32,40,58,-0.071,-0.096,0.249,0.424,-12.901,S1,Amendment Rejected,,,
114,Senate,33,2015-01-28,1,33,40,58,-0.111,-0.134,0.435,0.373,-5.089,S1,Amendment Rejected,,,
114,Senate,34,2015-01-28,1,34,53,45,0.045,-0.102,-0.374,-0.35,-3.591,S1,Amendment Rejected,,,
114,Senate,35,2015-01-28,1,35,54,44,-0.031,-0.101,-0.452,-0.078,-1.82,S1,Amendment Rejected,,,
114,Senate,36,2015-01-28,1,36,44,52,-0.023,-0.107,0.409,0.103,-3.076,S1,Amendment Rejected,,,
114,Senate,37,2015-01-28,1,37,50,47,0.108,-0.099,-0.209,-0.208,-14.136,S1,Amendment Rejected,,,
114,Senate,38,2015-01-28,1,38,47,51,0.162,-0.083,0.395,0.288,-3.925,S1,Amendment Rejected,,,
114,Senate,39,2015-01-28,1,39,50,48,0.139,-0.089,-0.231,-0.374,-12.116,S1,Amendment Rejected,,,
114,Senate,40,2015-01-28,1,40,47,51,0.136,-0.104,0.289,0.465,-7.317,S1,Amendment Rejected,,,
114,Senate,41,2015-01-28,1,41,35,63,-0.172,-0.171,0.305,0.474,-13.471,S1,Amendment Rejected,,,
114,Senate,42,2015-01-29,1,42,47,51,0.04,0.084,-0.161,-0.645,-24.51,S1,Amendment Rejected,,,
114,Senate,43,2015-01-29,1,43,59,39,0.338,-0.037,0.238,0.385,-21.704,S1,Amendment Rejected,,,
114,Senate,44,2015-01-29,1,44,45,53,0.06,-0.098,0.293,1.03,-6.787,S1,Amendment Rejected,,,
114,Senate,45,2015-01-29,1,45,62,35,-0.173,-0.157,-0.404,-0.46,-9.1,S1,Cloture Motion Agreed to,,,
114,Senate,46,2015-01-29,1,46,41,56,-0.108,-0.102,0.36,-0.051,-8.899,S1,Amendment Rejected,,,
114,Senate,47,2015-01-29,1,47,36,62,-0.182,-0.141,0.406,0.335,-10.017,S1,Amendment Rejected,,,
114,Senate,48,2015-01-29,1,48,44,54,-0.044,-0.095,0.402,-0.12,-3.413,S1,Amendment Rejected,,,
114,Senate,49,2015-01-29,1,49,62,36,-0.174,-0.155,-0.405,-0.46,-9.102,S1,Bill Passed,,,
114,Senate,50,2015-02-03,1,50,99,0,0.0,0.0,0.0,0.0,0.0,HR203,Bill Passed,,,
114,Senate,51,2015-02-03,1,51,51,48,0.146,-0.074,-0.23,0.015,-10.599,HR240,Cloture on the Motion to Proceed Rejected,,,
114,Senate,52,2015-02-04,1,52,53,47,0.12,-0.078,-0.26,-0.046,-7.188,HR240,Cloture on the Motion to Proceed Rejected,,,
114,Senate,53,2015-02-05,1,53,52,47,0.139,-0.078,-0.231,0.059,-10.814,HR240,Cloture on the Motion to Proceed Rejected,,,
114,Senate,54,2015-02-09,1,54,92,0,0.0,0.0,0.0,0.0,0.0,PN60,Nomination Confirmed,,,
114,Senate,55,2015-02-11,1,55,98,0,0.0,0.0,0.0,0.0,0.0,S295,Bill Passed,,,
114,Senate,56,2015-02-12,1,56,93,5,0.535,0.764,0.121,0.456,-18.214,PN1,Nomination Confirmed,,,
114,Senate,57,2015-02-23,1,57,47,46,0.149,-0.069,-0.226,0.017,-10.509,HR240,Cloture on the Motion to Proceed Rejected,,,
